video,roundId,starttime,endtime,won,place,kills,playtime,tracefile,map_ui_position/scale,Unnamed: 10
/home/itec/philipp/nobackup/fn-new-videos/StaySteezzy/20191211_GpvJrlPPWEqjiudkTbKdWA_1576031482.mp4,18,03:30:57,03:34:12,0,100,0,00:03:15,round-20191211_GpvJrlPPWEqjiudkTbKdWA_1576031482_18.csv,(1520x11)(1806x297),0.95
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,1,00:11:53,00:15:52,0,100,0,00:03:59,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_1.csv,(1601x12)(1887x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191205_OAAjwCoGV0uThCr14E_pXA_1575586482.mp4,2,00:12:20,00:16:09,0,100,0,00:03:49,round-20191205_OAAjwCoGV0uThCr14E_pXA_1575586482_2.csv,(1601x12)(1887x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,2,00:17:36,00:22:43,0,100,0,00:05:07,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_2.csv,(1601x12)(1887x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,3,00:24:40,00:27:42,0,100,0,00:03:02,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_3.csv,(1601x12)(1887x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191205_OAAjwCoGV0uThCr14E_pXA_1575586482.mp4,3,00:19:41,00:28:17,0,100,0,00:08:36,round-20191205_OAAjwCoGV0uThCr14E_pXA_1575586482_3.csv,(1601x12)(1887x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,4,00:29:27,00:33:39,0,100,0,00:04:12,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_4.csv,(1601x12)(1887x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191205_OAAjwCoGV0uThCr14E_pXA_1575586482.mp4,4,00:29:58,00:33:40,0,100,0,00:03:42,round-20191205_OAAjwCoGV0uThCr14E_pXA_1575586482_4.csv,(1601x12)(1887x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191205_1Mfc0pH7tUyW6tQ-bnp79A_1575576753.mp4,6,01:12:33,01:16:33,0,100,0,00:04:00,round-20191205_1Mfc0pH7tUyW6tQ-bnp79A_1575576753_6.csv,(1601x12)(1887x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/RedMenace/20191129_5NTeAXtTv0mCU0kB5TgjNg_1575029111.mp4,11,03:39:29,03:50:45,0,100,0,00:11:16,round-20191129_5NTeAXtTv0mCU0kB5TgjNg_1575029111_11.csv,(1531x51)(1817x337),1.513
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191205_1Mfc0pH7tUyW6tQ-bnp79A_1575576753.mp4,7,01:18:25,01:20:47,0,100,0,00:02:22,round-20191205_1Mfc0pH7tUyW6tQ-bnp79A_1575576753_7.csv,(1601x12)(1887x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/StaySteezzy/20191211_GpvJrlPPWEqjiudkTbKdWA_1576031482.mp4,19,03:36:18,03:51:08,0,100,0,00:14:50,round-20191211_GpvJrlPPWEqjiudkTbKdWA_1576031482_19.csv,(1520x11)(1806x297),0.95
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191205_1Mfc0pH7tUyW6tQ-bnp79A_1575576753.mp4,8,01:24:24,01:29:50,0,100,0,00:05:26,round-20191205_1Mfc0pH7tUyW6tQ-bnp79A_1575576753_8.csv,(1601x12)(1887x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/StaySteezzy/20191211_GpvJrlPPWEqjiudkTbKdWA_1576031482.mp4,20,03:54:31,03:58:16,0,100,0,00:03:45,round-20191211_GpvJrlPPWEqjiudkTbKdWA_1576031482_20.csv,(1520x11)(1806x297),0.95
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,5,00:35:13,00:52:45,0,100,0,00:17:32,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_5.csv,(1601x12)(1887x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848.mp4,2,00:30:53,00:44:22,0,100,0,00:13:29,round-20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848_2.csv,(1610x12)(1896x298),1.497
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191211_U91lc3JboUefJ-nTGYroew_1576038731.mp4,1,00:06:52,00:18:32,0,100,0,00:11:40,round-20191211_U91lc3JboUefJ-nTGYroew_1576038731_1.csv,(1544x12)(1830x298),1.444
/home/itec/philipp/nobackup/fn-new-videos/Flopysock/20191202_HWnwd-xPGUKBZ76s3C_7Rg_1575276443.mp4,3,02:40:47,02:56:14,0,100,0,00:15:27,round-20191202_HWnwd-xPGUKBZ76s3C_7Rg_1575276443_3.csv,(1479x11)(1765x297),1.437
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191205_OAAjwCoGV0uThCr14E_pXA_1575586482.mp4,5,00:35:23,00:55:12,0,100,0,00:19:49,round-20191205_OAAjwCoGV0uThCr14E_pXA_1575586482_5.csv,(1601x12)(1887x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191211_U91lc3JboUefJ-nTGYroew_1576038731.mp4,2,00:23:24,00:27:32,0,100,0,00:04:08,round-20191211_U91lc3JboUefJ-nTGYroew_1576038731_2.csv,(1544x12)(1830x298),1.444
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848.mp4,3,00:46:01,00:50:37,0,100,0,00:04:36,round-20191206_oFmFoQTY-Ua2eBquel_i5A_1575665848_3.csv,(1610x12)(1896x298),1.497
/home/itec/philipp/nobackup/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,6,00:54:19,01:09:03,0,100,0,00:14:44,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_6.csv,(1601x12)(1887x298),1.49
/home/itec/philipp/nobackup/fn-new-videos/Flopysock/20191130_5hchg8-B20SyvYkF2RHWPg_1575076848.mp4,10,02:25:50,02:30:57,0,100,0,00:05:07,round-20191130_5hchg8-B20SyvYkF2RHWPg_1575076848_10.csv,(1526x11)(1812x297),1.43
/home/itec/philipp/nobackup/fn-new-videos/StaySteezzy/20191203_LVGEo-cFCUadQHkAvIEpJA_1575346187.mp4,21,03:58:16,04:14:14,0,100,0,00:15:58,round-20191203_LVGEo-cFCUadQHkAvIEpJA_1575346187_21.csv,(1520x11)(1806x297),0.95
