video,roundId,starttime,endtime,won,place,kills,playtime,tracefile,map_ui_position/scale
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,19,02:50:03,02:58:13,0,100,0,00:08:10,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_19.csv,(1601x12)(1887x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497.mp4,12,02:49:20,03:06:48,0,100,0,00:17:28,round-20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497_12.csv,(1525x51)(1811x337); 1.505
/media/itec-linux/My Passport/fn/fn-new-videos/Allenownz/20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156.mp4,15,03:01:58,03:11:09,-1,100,0,00:09:11,round-20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156_15.csv,(1975x11)(2261x297); 1.187
/media/itec-linux/My Passport/fn/fn-new-videos/CleverNyx/20191208_96EaxsqT3kaciAmNS4pL9A_1575810412.mp4,20,03:00:11,03:12:02,0,100,0,00:11:51,round-20191208_96EaxsqT3kaciAmNS4pL9A_1575810412_20.csv,(1601x12)(1887x298); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191201_QwZHyJpoEUe2wbxQtephuQ_1575173844.mp4,4,01:07:55,01:27:36,1,1,-1,00:19:41,round-20191201_QwZHyJpoEUe2wbxQtephuQ_1575173844_4.csv,(1523x51)(1809x337); 1.505
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191204__ncpS9dwm0yDBxfq3_-w0w_1575445502.mp4,2,00:53:07,01:16:53,1,1,-1,00:23:46,round-20191204__ncpS9dwm0yDBxfq3_-w0w_1575445502_2.csv,(1507x51)(1793x337); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/Allenownz/20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156.mp4,16,03:11:09,03:15:33,-1,100,0,00:04:24,round-20191130_6A9mtBPCwEasXRNJ-vMT_g_1575108156_16.csv,(1975x11)(2261x297); 1.187
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191204__ncpS9dwm0yDBxfq3_-w0w_1575445502.mp4,3,01:24:07,01:28:12,0,100,0,00:04:05,round-20191204__ncpS9dwm0yDBxfq3_-w0w_1575445502_3.csv,(1507x51)(1793x337); 1.490
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497.mp4,13,03:14:41,03:30:38,0,100,0,00:15:57,round-20191130_p4rb2sbJ2kuiVEK-8_8gXA_1575103497_13.csv,(1525x51)(1811x337); 1.505
/media/itec-linux/My Passport/fn/fn-new-videos/Dobeyy/20191201_QwZHyJpoEUe2wbxQtephuQ_1575173844.mp4,5,01:49:40,01:57:43,-1,100,0,00:08:03,round-20191201_QwZHyJpoEUe2wbxQtephuQ_1575173844_5.csv,(1523x51)(1809x337); 1.505
